"user","weekday","daytime","stress","valence","arousal","n_traj","speed","accuracy","clicks","wheels"
"i6ejrlbjf0hpdbbbzpdb","Wednesday","afternoon",0,5,4,177,0.290184234198418,0.625917355241489,0.0061022120518688,0.0125989636760567
"i6ejrlbjf0hpdbbbzpdb","Thursday","morning",0,6,5,139,0.357298448783436,0.639898985456677,0.00515230722831004,0.00349351563285413
"i6ejrlbjf0hpdbbbzpdb","Thursday","afternoon",0,7,3,200,0.354421878367924,0.599925330583784,0.00698946068703973,0.0324337434404904
"i6ejrlbjf0hpdbbbzpdb","Friday","afternoon",0,6,2,85,0.375346715393316,0.601055197755938,0.00525543459714022,0.000887281165750947
"i6ejrlbjf0hpdbbbzpdb","Monday","morning",0,7,2,159,0.343735728776128,0.629669019538551,0.00629060534185831,0.0154171393214396
"i6ejrlbjf0hpdbbbzpdb","Monday","afternoon",0,6,3,84,0.369934546941272,0.628241333278336,0.00551096202228345,0.0089852641667665
"i6ejrlbjf0hpdbbbzpdb","Tuesday","morning",0,5,3,43,0.353147540850157,0.620770697425025,0.00378608613345954,0.0274491244675816
"1y0lz8rl5msoelqw3ghs","Wednesday","afternoon",1,3,5,287,0.131890150499578,0.573131682300322,0.00661749609109718,0.00383783186190123
"i6ejrlbjf0hpdbbbzpdb","Wednesday","morning",0,6,2,129,0.363194140538003,0.614305237485958,0.00553136401082735,0.010032952806873
"i6ejrlbjf0hpdbbbzpdb","Wednesday","afternoon",0,5,4,138,0.317824870405398,0.600832216183735,0.00804181745074387,0.0215891868485355
"i6ejrlbjf0hpdbbbzpdb","Thursday","morning",0,6,1,196,0.415424437017249,0.63499819747093,0.00668245082202996,0.0092713473325515
"i6ejrlbjf0hpdbbbzpdb","Thursday","afternoon",0,4,5,208,0.346767798196962,0.619495240674908,0.00739685846068825,0.0127744595829702
"i6ejrlbjf0hpdbbbzpdb","Friday","morning",0,6,5,51,0.295542187814482,0.620291925449632,0.00350402655683285,0.0350402655683285
"i6ejrlbjf0hpdbbbzpdb","Friday","afternoon",0,7,4,201,0.349857539006729,0.622609263157574,0.00637752443675622,0.00862841541443488
"i6ejrlbjf0hpdbbbzpdb","Monday","morning",0,6,4,104,0.483834339702808,0.635854403131147,0.0075882946518668,0.00593340060544904
"i6ejrlbjf0hpdbbbzpdb","Monday","afternoon",0,6,3,160,0.389800740129532,0.625581473417516,0.00468560330177227,0.0398397669337218
"i6ejrlbjf0hpdbbbzpdb","Tuesday","morning",0,6,2,176,0.267347589998623,0.61478901651729,0.00575213937150805,0.0205332516089488
"i6ejrlbjf0hpdbbbzpdb","Tuesday","afternoon",0,6,3,24,0.346713406340401,0.593345682757245,0.00723065798987708,0.0196673897324657
"1y0lz8rl5msoelqw3ghs","Thursday","morning",0,4,6,124,0.2358244554805,0.621863319713914,0.00652431791221827,0.0301444421184844
"i6ejrlbjf0hpdbbbzpdb","Wednesday","morning",0,6,3,77,0.340380512424955,0.616918141454313,0.00643259179844546,0.00493165371214152
"i6ejrlbjf0hpdbbbzpdb","Wednesday","afternoon",0,6,2,131,0.396108630992983,0.627406214431343,0.00713970912296166,0.00769795798442779
"i6ejrlbjf0hpdbbbzpdb","Thursday","morning",0,7,2,156,0.370709405545687,0.616728947247776,0.0050978566837334,0.00314737238734845
"i6ejrlbjf0hpdbbbzpdb","Thursday","afternoon",0,5,2,280,0.390578769902111,0.627721566011242,0.0081467388653105,0.0090085695237166
"i6ejrlbjf0hpdbbbzpdb","Friday","morning",0,6,2,53,0.336954055353427,0.61315296964724,0.00655007949125596,0.00216216216216216
"i6ejrlbjf0hpdbbbzpdb","Friday","afternoon",0,6,2,148,0.381782270201786,0.62828934581914,0.00575630844415206,0.013627179173911
"i6ejrlbjf0hpdbbbzpdb","Monday","afternoon",0,6,3,98,0.364424542835381,0.638259713103746,0.00562790697674419,0.0196279069767442
"i6ejrlbjf0hpdbbbzpdb","Tuesday","morning",0,7,2,200,0.35449831348653,0.600603777261039,0.0060845876995884,0.00992225249050526
"i6ejrlbjf0hpdbbbzpdb","Tuesday","afternoon",0,4,3,126,0.387713813734069,0.627095575714653,0.00531334670466941,0.00756536120201274
"i6ejrlbjf0hpdbbbzpdb","Thursday","afternoon",0,4,3,129,0.331187845428214,0.61695184198756,0.00462546254625463,0.0192519251925193
"1y0lz8rl5msoelqw3ghs","Thursday","afternoon",0,6,3,85,0.195186323988664,0.625977145554218,0.00688324555457058,0.014131511706732
"i6ejrlbjf0hpdbbbzpdb","Monday","morning",0,7,1,67,0.341773657874553,0.661630091408661,0.0121074082953728,0
